stop_id,stop_name,stop_lat,stop_lon
11958,UNION STATION MARC Washington,38.899036,-77.006795
11976,PERRYVILLE MARC,39.558112,-76.073792
11977,ABERDEEN MARC sb,39.508557,-76.163024
11978,EDGEWOOD MARC sb,39.415988,-76.292763
11979,MARTIN AIRPORT MARC sb,39.33844,-76.419345
11980,PENN STATION MARC sb,39.307198,-76.615715
11981,WEST BALTIMORE MARC sb,39.293351,-76.653375
11982,HALETHORPE MARC sb,39.236824,-76.691476
11984,BWI RAIL STATION MARC sb,39.19228,-76.694726
11985,ODENTON MARC sb,39.086896,-76.706191
11986,BOWIE STATE MARC sb,39.017732,-76.765097
11987,SEABROOK MARC sb,38.973334,-76.843124
11988,NEW CARROLLTON MARC sb,38.947966,-76.872491
11989,NEW CARROLLTON MARC nb,38.947741,-76.872205
11990,SEABROOK MARC nb,38.97309,-76.843291
11991,BOWIE STATE MARC nb,39.017591,-76.764903
11992,ODENTON MARC nb,39.086794,-76.706383
11993,BWI RAIL STATION MARC nb,39.192327,-76.69456
11994,HALETHORPE MARC nb,39.236819,-76.691217
11995,WEST BALTIMORE MARC nb,39.293319,-76.653064
12002,PENN STATION MARC nb,39.307223,-76.615769
12003,MARTIN AIRPORT MARC nb,39.338478,-76.419377
12004,EDGEWOOD MARC nb,39.41592,-76.29272
12005,ABERDEEN MARC nb,39.508507,-76.162905
