trip_id,route_id,direction_id,trip_headsign
Train400,11705,1,BALTIMORE
Train401,11705,0,WASHINGTON
Train403,11705,0,WASHINGTON
Train404,11705,1,BALTIMORE
Train407,11705,0,WASHINGTON
Train408,11705,1,BALTIMORE
Train409,11705,0,WASHINGTON
Train410,11705,1,BALTIMORE
Train412,11705,1,BALTIMORE
Train413,11705,0,WASHINGTON
Train414,11705,1,BALTIMORE
Train415,11705,0,WASHINGTON
Train416,11705,1,BALTIMORE
Train418,11705,1,BALTIMORE
Train419,11705,0,WASHINGTON
Train421,11705,0,WASHINGTON
Train422,11705,1,BALTIMORE
Train423,11705,0,WASHINGTON
Train424,11705,1,BALTIMORE
Train426,11705,1,BALTIMORE
Train427,11705,0,WASHINGTON
Train428,11705,1,BALTIMORE
Train429,11705,0,WASHINGTON
Train430,11705,1,BALTIMORE
Train430R,11705,1,PERRYVILLE
Train431,11705,0,WASHINGTON
Train433,11705,0,WASHINGTON
Train435,11705,0,WASHINGTON
Train438,11705,1,BALTIMORE
Train439,11705,0,WASHINGTON
Train440,11705,1,BALTIMORE
Train440R,11705,1,PERRYVILLE
Train443,11705,0,WASHINGTON
Train445,11705,0,WASHINGTON
Train446,11705,1,BALTIMORE
Train447,11705,0,WASHINGTON
Train448,11705,1,BALTIMORE
Train449,11705,0,WASHINGTON
Train451,11705,0,WASHINGTON
Train452,11705,1,BALTIMORE
Train453,11705,0,WASHINGTON
Train454,11705,1,BALTIMORE
Train455,11705,0,WASHINGTON
Train476,11705,1,BALTIMORE
Train478Sunday,11705,1,BALTIMORE
Train478SundayAmtrak,11705,1,BALTIMORE
Train480Saturday,11705,1,BALTIMORE
Train481,11705,0,WASHINGTON
Train482Saturday,11705,1,BALTIMORE
Train482Sunday,11705,1,BALTIMORE
Train485,11705,0,WASHINGTON
Train486,11705,1,BALTIMORE
Train486Amtrak,11705,1,BALTIMORE
Train487Saturday,11705,0,WASHINGTON
Train487Sunday,11705,0,WASHINGTON
Train490Saturday,11705,1,BALTIMORE
Train490Sunday,11705,1,BALTIMORE
Train491Saturday,11705,0,WASHINGTON
Train491Sunday,11705,0,WASHINGTON
Train492,11705,1,BALTIMORE
Train692,11705,1,MARTIN AIRPORT
Train494,11705,1,BALTIMORE
Train495Saturday,11705,0,WASHINGTON
Train495Sunday,11705,0,WASHINGTON
Train497,11705,0,WASHINGTON
Train499,11705,0,WASHINGTON
Train502,11705,1,PERRYVILLE
Train505,11705,0,WASHINGTON
Train511,11705,0,WASHINGTON
Train517,11705,0,WASHINGTON
Train520,11705,1,PERRYVILLE
Train525,11705,0,WASHINGTON
Train532,11705,1,BALTIMORE AND PERRYVILLE
Train536,11705,1,PERRYVILLE
Train537,11705,0,WASHINGTON
Train544,11705,1,PERRYVILLE
Train548,11705,1,PERRYVILLE
Train610,11705,1,BALTIMORE AND MARTIN AIR
Train612,11705,1,BALTIMORE AND MARTIN AIR
Train634,11705,1,BALTIMORE AND MARTIN AIR
Train641,11705,0,WASHINGTON
Train642,11705,1,BALTIMORE AND MARTIN AIR
Train675,11705,0,WASHINGTON
Train677Sunday,11705,0,WASHINGTON
Train681,11705,0,WASHINGTON
Train685Saturday,11705,0,WASHINGTON
Train688,11705,1,BALTIMORE AND MARTIN AIR
Train689,11705,0,WASHINGTON
Train694,11705,1,BALTIMORE AND MARTIN AIR
Train696,11705,1,BALTIMORE AND MARTIN AIR
Train698,11705,1,BALTIMORE AND MARTIN AIR
Train410R,11705,1,BALTIMORE
Train612R,11705,1,BALTIMORE AND MARTIN AIR
Train414R,11705,1,BALTIMORE
Train416R,11705,1,BALTIMORE
Train520R,11705,1,PERRYVILLE
Train424R,11705,1,BALTIMORE
Train426R,11705,1,BALTIMORE
Train634R,11705,1,BALTIMORE AND MARTIN AIR
Train642R,11705,1,BALTIMORE AND MARTIN AIR
Train544R,11705,1,PERRYVILLE
Train448R,11705,1,BALTIMORE
Train449R,11705,0,WASHINGTON
Train443R,11705,0,WASHINGTON
Train641R,11705,0,WASHINGTON
Train537R,11705,0,WASHINGTON
Train435R,11705,0,WASHINGTON
Train431R,11705,0,WASHINGTON
Train427R,11705,0,WASHINGTON
Train525R,11705,0,WASHINGTON
Train421R,11705,0,WASHINGTON
Train517R,11705,0,WASHINGTON
Train413R,11705,0,WASHINGTON
Train511R,11705,0,WASHINGTON
Train407R,11705,0,WASHINGTON
